REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",UOM,COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2010,Province 1,All quintiles,Total expenditure,Dollars,C1,72075,Couple families,Total all ages,All income groups,7989380
2010,Province 1,All quintiles,Food purchased from stores,Dollars,C2,5709,Couple families,Total all ages,"Under $10,000",189700
2010,Province 1,All quintiles,Food purchased from restaurants,Dollars,C3,2141,Couple families,Total all ages,"$10,000 and over",7799670
2010,Province 1,All quintiles,Shelter,Dollars,C4,15020,Couple families,Total all ages,"$15,000 and over",7695970
2010,Province 1,All quintiles,Principal accommodation,Dollars,C5,13586,Couple families,Total all ages,"$20,000 and over",7552050
2010,Province 1,All quintiles,Rented living quarters,Dollars,C6,3088,Couple families,Total all ages,"$25,000 and over",7355530
2010,Province 1,All quintiles,Owned living quarters,Dollars,C7,8259,Couple families,Total all ages,"$30,000 and over",7045540
2010,Province 1,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C8,2240,Couple families,Total all ages,"$35,000 and over",6708710
2010,Province 1,All quintiles,Other accommodation,Dollars,C9,1433,Couple families,Total all ages,"$40,000 and over",6383220
2010,Province 1,All quintiles,Household operations,Dollars,C10,3887,Couple families,Total all ages,"$45,000 and over",6052150
2010,Province 1,All quintiles,Communications,Dollars,C11,1742,Couple families,Total all ages,"$50,000 and over",5719630
2010,Province 1,All quintiles,Household furnishings and equipment,Dollars,C12,1972,Couple families,Total all ages,"$60,000 and over",5059180
2010,Province 1,All quintiles,Household furnishings,Dollars,C13,896,Couple families,Total all ages,"$70,000 and over",4420250
2010,Province 1,All quintiles,Household equipment,Dollars,C14,944,Couple families,Total all ages,"$75,000 and over",4111920
2010,Province 1,All quintiles,Household appliances,Dollars,C15,415,Couple families,Total all ages,"$80,000 and over",3815020
2010,Province 1,All quintiles,Clothing and accessories,Dollars,C16,3467,Couple families,Total all ages,"$90,000 and over",3258520
2010,Province 1,All quintiles,Transportation,Dollars,C17,11156,Couple families,Total all ages,Median total income,76950
2010,Province 1,Lowest quintile,Total expenditure,Dollars,C18,29151,Couple families,0 to 24 years,All income groups,133350
2010,Province 1,Lowest quintile,Food purchased from stores,Dollars,C19,3466,Couple families,0 to 24 years,"Under $10,000",12780
2010,Province 1,Lowest quintile,Food purchased from restaurants,Dollars,C20,967,Couple families,0 to 24 years,"$10,000 and over",120570
2010,Province 1,Lowest quintile,Shelter,Dollars,C21,9223,Couple families,0 to 24 years,"$15,000 and over",111560
2010,Province 1,Lowest quintile,Principal accommodation,Dollars,C22,8742,Couple families,0 to 24 years,"$20,000 and over",100830
2010,Province 1,Lowest quintile,Rented living quarters,Dollars,C23,4818,Couple families,0 to 24 years,"$25,000 and over",89240
2010,Province 1,Lowest quintile,Owned living quarters,Dollars,C24,2693,Couple families,0 to 24 years,"$30,000 and over",77820
2010,Province 1,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C25,1232,Couple families,0 to 24 years,"$35,000 and over",66800
2010,Province 1,Lowest quintile,Other accommodation,Dollars,C26,480,Couple families,0 to 24 years,"$40,000 and over",56360
2010,Province 1,Lowest quintile,Household operations,Dollars,C27,2063,Couple families,0 to 24 years,"$45,000 and over",47150
2010,Province 1,Lowest quintile,Communications,Dollars,C28,1079,Couple families,0 to 24 years,"$50,000 and over",39130
2010,Province 1,Lowest quintile,Household furnishings and equipment,Dollars,C29,789,Couple families,0 to 24 years,"$60,000 and over",26480
2010,Province 1,Lowest quintile,Household furnishings,Dollars,C30,366,Couple families,0 to 24 years,"$70,000 and over",17520
2010,Province 1,Lowest quintile,Household equipment,Dollars,C31,371,Couple families,0 to 24 years,"$75,000 and over",14210
2010,Province 1,Lowest quintile,Household appliances,Dollars,C32,192,Couple families,0 to 24 years,"$80,000 and over",11480
2010,Province 1,Lowest quintile,Clothing and accessories,Dollars,C33,1431,Couple families,0 to 24 years,"$90,000 and over",7490
2010,Province 1,Lowest quintile,Transportation,Dollars,C34,4473,Couple families,0 to 24 years,Median total income,35050
2010,Province 1,Second quintile,Total expenditure,Dollars,C35,43247,Couple families,25 to 34 years,All income groups,1072780
2010,Province 1,Second quintile,Food purchased from stores,Dollars,C36,4744,Couple families,25 to 34 years,"Under $10,000",33380
2010,Province 1,Second quintile,Food purchased from restaurants,Dollars,C37,1390,Couple families,25 to 34 years,"$10,000 and over",1039400
2010,Province 1,Second quintile,Shelter,Dollars,C38,11252,Couple families,25 to 34 years,"$15,000 and over",1018700
2010,Province 1,Second quintile,Principal accommodation,Dollars,C39,10621,Couple families,25 to 34 years,"$20,000 and over",991410
2010,Province 1,Second quintile,Rented living quarters,Dollars,C40,4142,Couple families,25 to 34 years,"$25,000 and over",958210
2010,Province 1,Second quintile,Owned living quarters,Dollars,C41,4717,Couple families,25 to 34 years,"$30,000 and over",920790
2010,Province 1,Second quintile,"Water, fuel and electricity for principal accommodation",Dollars,C42,1762,Couple families,25 to 34 years,"$35,000 and over",881160
2010,Province 1,Second quintile,Other accommodation,Dollars,C43,631,Couple families,25 to 34 years,"$40,000 and over",836430
2010,Province 1,Second quintile,Household operations,Dollars,C44,2738,Couple families,25 to 34 years,"$45,000 and over",788760
2010,Province 1,Second quintile,Communications,Dollars,C45,1411,Couple families,25 to 34 years,"$50,000 and over",738120
2010,Province 1,Second quintile,Household furnishings and equipment,Dollars,C46,1252,Couple families,25 to 34 years,"$60,000 and over",634680
2010,Province 1,Second quintile,Household furnishings,Dollars,C47,526,Couple families,25 to 34 years,"$70,000 and over",530330
2010,Province 1,Second quintile,Household equipment,Dollars,C48,634,Couple families,25 to 34 years,"$75,000 and over",479780
2010,Province 1,Second quintile,Household appliances,Dollars,C49,303,Couple families,25 to 34 years,"$80,000 and over",431170
2010,Province 1,Second quintile,Clothing and accessories,Dollars,C50,2270,Couple families,25 to 34 years,"$90,000 and over",341850
2010,Province 1,Second quintile,Transportation,Dollars,C51,7622,Couple families,25 to 34 years,Median total income,69400
2010,Province 1,Third quintile,Total expenditure,Dollars,C52,61674,Couple families,35 to 44 years,All income groups,1604130
2010,Province 1,Third quintile,Food purchased from stores,Dollars,C53,5455,Couple families,35 to 44 years,"Under $10,000",48490
2010,Province 1,Third quintile,Food purchased from restaurants,Dollars,C54,1896,Couple families,35 to 44 years,"$10,000 and over",1555640
2010,Province 1,Third quintile,Shelter,Dollars,C55,14370,Couple families,35 to 44 years,"$15,000 and over",1533870
2010,Province 1,Third quintile,Principal accommodation,Dollars,C56,13194,Couple families,35 to 44 years,"$20,000 and over",1505780
2010,Province 1,Third quintile,Rented living quarters,Dollars,C57,3069,Couple families,35 to 44 years,"$25,000 and over",1469940
2010,Province 1,Third quintile,Owned living quarters,Dollars,C58,7903,Couple families,35 to 44 years,"$30,000 and over",1429990
2010,Province 1,Third quintile,"Water, fuel and electricity for principal accommodation",Dollars,C59,2222,Couple families,35 to 44 years,"$35,000 and over",1385480
2010,Province 1,Third quintile,Other accommodation,Dollars,C60,1176,Couple families,35 to 44 years,"$40,000 and over",1336740
2010,Province 1,Third quintile,Household operations,Dollars,C61,3472,Couple families,35 to 44 years,"$45,000 and over",1284580
2010,Province 1,Third quintile,Communications,Dollars,C62,1739,Couple families,35 to 44 years,"$50,000 and over",1229420
2010,Province 1,Third quintile,Household furnishings and equipment,Dollars,C63,1941,Couple families,35 to 44 years,"$60,000 and over",1114930
2010,Province 1,Third quintile,Household furnishings,Dollars,C64,898,Couple families,35 to 44 years,"$70,000 and over",994920
2010,Province 1,Third quintile,Household equipment,Dollars,C65,940,Couple families,35 to 44 years,"$75,000 and over",932730
2010,Province 1,Third quintile,Household appliances,Dollars,C66,412,Couple families,35 to 44 years,"$80,000 and over",870620
2010,Province 1,Third quintile,Clothing and accessories,Dollars,C67,3078,Couple families,35 to 44 years,"$90,000 and over",748000
2010,Province 1,Third quintile,Transportation,Dollars,C68,10594,Couple families,35 to 44 years,Median total income,85540
2010,Province 1,Fourth quintile,Total expenditure,Dollars,C69,83109,Couple families,45 to 54 years,All income groups,1893220
2010,Province 1,Fourth quintile,Food purchased from stores,Dollars,C70,6688,Couple families,45 to 54 years,"Under $10,000",43630
2010,Province 1,Fourth quintile,Food purchased from restaurants,Dollars,C71,2556,Couple families,45 to 54 years,"$10,000 and over",1849590
2010,Province 1,Fourth quintile,Shelter,Dollars,C72,16979,Couple families,45 to 54 years,"$15,000 and over",1830340
2010,Province 1,Fourth quintile,Principal accommodation,Dollars,C73,15794,Couple families,45 to 54 years,"$20,000 and over",1803250
2010,Province 1,Fourth quintile,Rented living quarters,Dollars,C74,2102,Couple families,45 to 54 years,"$25,000 and over",1767580
2010,Province 1,Fourth quintile,Owned living quarters,Dollars,C75,11055,Couple families,45 to 54 years,"$30,000 and over",1728010
2010,Province 1,Fourth quintile,"Water, fuel and electricity for principal accommodation",Dollars,C76,2637,Couple families,45 to 54 years,"$35,000 and over",1684870
2010,Province 1,Fourth quintile,Other accommodation,Dollars,C77,1185,Couple families,45 to 54 years,"$40,000 and over",1637560
2010,Province 1,Fourth quintile,Household operations,Dollars,C78,4401,Couple families,45 to 54 years,"$45,000 and over",1586890
2010,Province 1,Fourth quintile,Communications,Dollars,C79,1999,Couple families,45 to 54 years,"$50,000 and over",1533210
2010,Province 1,Fourth quintile,Household furnishings and equipment,Dollars,C80,2095,Couple families,45 to 54 years,"$60,000 and over",1418410
2010,Province 1,Fourth quintile,Household furnishings,Dollars,C81,932,Couple families,45 to 54 years,"$70,000 and over",1296030
2010,Province 1,Fourth quintile,Household equipment,Dollars,C82,1029,Couple families,45 to 54 years,"$75,000 and over",1232040
2010,Province 1,Fourth quintile,Household appliances,Dollars,C83,436,Couple families,45 to 54 years,"$80,000 and over",1167600
2010,Province 1,Fourth quintile,Clothing and accessories,Dollars,C84,4217,Couple families,45 to 54 years,"$90,000 and over",1037640
2010,Province 1,Fourth quintile,Transportation,Dollars,C85,13769,Couple families,45 to 54 years,Median total income,97110
2010,Province 1,Highest quintile,Total expenditure,Dollars,C86,142898,Couple families,55 to 64 years,All income groups,1624920
2010,Province 1,Highest quintile,Food purchased from stores,Dollars,C87,8141,Couple families,55 to 64 years,"Under $10,000",31370
2010,Province 1,Highest quintile,Food purchased from restaurants,Dollars,C88,3868,Couple families,55 to 64 years,"$10,000 and over",1593550
2010,Province 1,Highest quintile,Shelter,Dollars,C89,23261,Couple families,55 to 64 years,"$15,000 and over",1571310
2010,Province 1,Highest quintile,Principal accommodation,Dollars,C90,19570,Couple families,55 to 64 years,"$20,000 and over",1540340
2010,Province 1,Highest quintile,Rented living quarters,Dollars,C91,1310,Couple families,55 to 64 years,"$25,000 and over",1502570
2010,Province 1,Highest quintile,Owned living quarters,Dollars,C92,14915,Couple families,55 to 64 years,"$30,000 and over",1462430
2010,Province 1,Highest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C93,3346,Couple families,55 to 64 years,"$35,000 and over",1418400
2010,Province 1,Highest quintile,Other accommodation,Dollars,C94,3691,Couple families,55 to 64 years,"$40,000 and over",1367670
2010,Province 1,Highest quintile,Household operations,Dollars,C95,6741,Couple families,55 to 64 years,"$45,000 and over",1311870
2010,Province 1,Highest quintile,Communications,Dollars,C96,2480,Couple families,55 to 64 years,"$50,000 and over",1253330
2010,Province 1,Highest quintile,Household furnishings and equipment,Dollars,C97,3763,Couple families,55 to 64 years,"$60,000 and over",1129290
2010,Province 1,Highest quintile,Household furnishings,Dollars,C98,1753,Couple families,55 to 64 years,"$70,000 and over",1002760
2010,Province 1,Highest quintile,Household equipment,Dollars,C99,1735,Couple families,55 to 64 years,"$75,000 and over",940390
2010,Province 1,Highest quintile,Household appliances,Dollars,C100,733,Couple families,55 to 64 years,"$80,000 and over",879740
2010,Province 1,Highest quintile,Clothing and accessories,Dollars,C101,6334,Couple families,55 to 64 years,"$90,000 and over",765010
2010,Province 1,Highest quintile,Transportation,Dollars,C102,19274,Couple families,55 to 64 years,Median total income,85750
2010,Province 2,All quintiles,Total expenditure,Dollars,C103,61585,Couple families,Total all ages,All income groups,132340
2010,Province 2,All quintiles,Food purchased from stores,Dollars,C104,5516,Couple families,Total all ages,"Under $10,000",1130
2010,Province 2,All quintiles,Food purchased from restaurants,Dollars,C105,1720,Couple families,Total all ages,"$10,000 and over",131210
2010,Province 2,All quintiles,Shelter,Dollars,C106,11209,Couple families,Total all ages,"$15,000 and over",129670
2010,Province 2,All quintiles,Principal accommodation,Dollars,C107,10323,Couple families,Total all ages,"$20,000 and over",127630
2010,Province 2,All quintiles,Rented living quarters,Dollars,C108,1818,Couple families,Total all ages,"$25,000 and over",125070
2010,Province 2,All quintiles,Owned living quarters,Dollars,C109,5831,Couple families,Total all ages,"$30,000 and over",116960
2010,Province 2,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C110,2673,Couple families,Total all ages,"$35,000 and over",109260
2010,Province 2,All quintiles,Other accommodation,Dollars,C111,887,Couple families,Total all ages,"$40,000 and over",103100
2010,Province 2,All quintiles,Household operations,Dollars,C112,3674,Couple families,Total all ages,"$45,000 and over",96770
2010,Province 2,All quintiles,Communications,Dollars,C113,1684,Couple families,Total all ages,"$50,000 and over",90370
2010,Province 2,All quintiles,Household furnishings and equipment,Dollars,C114,1769,Couple families,Total all ages,"$60,000 and over",77870
2010,Province 2,All quintiles,Household furnishings,Dollars,C115,741,Couple families,Total all ages,"$70,000 and over",66460
2010,Province 2,All quintiles,Household equipment,Dollars,C116,944,Couple families,Total all ages,"$75,000 and over",61220
2010,Province 2,All quintiles,Household appliances,Dollars,C117,410,Couple families,Total all ages,"$80,000 and over",56280
2010,Province 2,All quintiles,Clothing and accessories,Dollars,C118,3221,Couple families,Total all ages,"$90,000 and over",47420
2010,Province 2,All quintiles,Transportation,Dollars,C119,10085,Couple families,Total all ages,Median total income,70250
2010,Province 2,Lowest quintile,Total expenditure,Dollars,C120,23821,Couple families,0 to 24 years,All income groups,1530
2010,Province 2,Lowest quintile,Food purchased from stores,Dollars,C121,3274,Couple families,0 to 24 years,"Under $10,000",100
2010,Province 2,Lowest quintile,Food purchased from restaurants,Dollars,C122,640,Couple families,0 to 24 years,"$10,000 and over",1440
2010,Province 2,Lowest quintile,Shelter,Dollars,C123,6668,Couple families,0 to 24 years,"$15,000 and over",1340
2010,Province 2,Lowest quintile,Principal accommodation,Dollars,C124,6458,Couple families,0 to 24 years,"$20,000 and over",1200
2010,Province 2,Lowest quintile,Rented living quarters,Dollars,C125,3240,Couple families,0 to 24 years,"$25,000 and over",1030
2010,Province 2,Lowest quintile,Owned living quarters,Dollars,C126,1509,Couple families,0 to 24 years,"$30,000 and over",880
2010,Province 2,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C127,1709,Couple families,0 to 24 years,"$35,000 and over",730
2010,Province 2,Lowest quintile,Other accommodation,Dollars,C128,210,Couple families,0 to 24 years,"$40,000 and over",570
2010,Province 2,Lowest quintile,Household operations,Dollars,C129,1908,Couple families,0 to 24 years,"$45,000 and over",470
2010,Province 2,Lowest quintile,Communications,Dollars,C130,1034,Couple families,0 to 24 years,"$50,000 and over",380
2010,Province 2,Lowest quintile,Household furnishings and equipment,Dollars,C131,739,Couple families,0 to 24 years,"$60,000 and over",240
2010,Province 2,Lowest quintile,Household furnishings,Dollars,C132,299,Couple families,0 to 24 years,"$70,000 and over",160
2010,Province 2,Lowest quintile,Household equipment,Dollars,C133,383,Couple families,0 to 24 years,"$75,000 and over",140
2010,Province 2,Lowest quintile,Household appliances,Dollars,C134,157,Couple families,0 to 24 years,"$80,000 and over",120
2010,Province 2,Lowest quintile,Clothing and accessories,Dollars,C135,1119,Couple families,0 to 24 years,"$90,000 and over",70
2010,Province 2,Lowest quintile,Transportation,Dollars,C136,4137,Couple families,0 to 24 years,Median total income,33740
2010,Province 2,Second quintile,Total expenditure,Dollars,C137,37075,Couple families,25 to 34 years,All income groups,13280
2010,Province 2,Second quintile,Food purchased from stores,Dollars,C138,4575,Couple families,25 to 34 years,"Under $10,000",200
2010,Province 2,Second quintile,Food purchased from restaurants,Dollars,C139,1066,Couple families,25 to 34 years,"$10,000 and over",13090
2010,Province 2,Second quintile,Shelter,Dollars,C140,8173,Couple families,25 to 34 years,"$15,000 and over",12960
2010,Province 2,Second quintile,Principal accommodation,Dollars,C141,7807,Couple families,25 to 34 years,"$20,000 and over",12760
2010,Province 2,Second quintile,Rented living quarters,Dollars,C142,2577,Couple families,25 to 34 years,"$25,000 and over",12470
2010,Province 2,Second quintile,Owned living quarters,Dollars,C143,2884,Couple families,25 to 34 years,"$30,000 and over",12100
2010,Province 2,Second quintile,"Water, fuel and electricity for principal accommodation",Dollars,C144,2347,Couple families,25 to 34 years,"$35,000 and over",11630
2010,Province 2,Second quintile,Other accommodation,Dollars,C145,366,Couple families,25 to 34 years,"$40,000 and over",11080
2010,Province 2,Second quintile,Household operations,Dollars,C146,2716,Couple families,25 to 34 years,"$45,000 and over",10410
2010,Province 2,Second quintile,Communications,Dollars,C147,1373,Couple families,25 to 34 years,"$50,000 and over",9710
2010,Province 2,Second quintile,Household furnishings and equipment,Dollars,C148,1131,Couple families,25 to 34 years,"$60,000 and over",8340
2010,Province 2,Second quintile,Household furnishings,Dollars,C149,507,Couple families,25 to 34 years,"$70,000 and over",7050
2010,Province 2,Second quintile,Household equipment,Dollars,C150,581,Couple families,25 to 34 years,"$75,000 and over",6450
2010,Province 2,Second quintile,Household appliances,Dollars,C151,288,Couple families,25 to 34 years,"$80,000 and over",5890
2010,Province 2,Second quintile,Clothing and accessories,Dollars,C152,2037,Couple families,25 to 34 years,"$90,000 and over",4840
2010,Province 2,Second quintile,Transportation,Dollars,C153,6873,Couple families,25 to 34 years,Median total income,73300
2010,Province 2,Third quintile,Total expenditure,Dollars,C154,54527,Couple families,35 to 44 years,All income groups,24810
2010,Province 2,Third quintile,Food purchased from stores,Dollars,C155,5432,Couple families,35 to 44 years,"Under $10,000",220
2010,Province 2,Third quintile,Food purchased from restaurants,Dollars,C156,1658,Couple families,35 to 44 years,"$10,000 and over",24590
2010,Province 2,Third quintile,Shelter,Dollars,C157,10337,Couple families,35 to 44 years,"$15,000 and over",24440
2010,Province 2,Third quintile,Principal accommodation,Dollars,C158,9722,Couple families,35 to 44 years,"$20,000 and over",24160
2010,Province 2,Third quintile,Rented living quarters,Dollars,C159,1636,Couple families,35 to 44 years,"$25,000 and over",23830
2010,Province 2,Third quintile,Owned living quarters,Dollars,C160,5439,Couple families,35 to 44 years,"$30,000 and over",23420
2010,Province 2,Third quintile,"Water, fuel and electricity for principal accommodation",Dollars,C161,2647,Couple families,35 to 44 years,"$35,000 and over",22870
2010,Province 2,Third quintile,Other accommodation,Dollars,C162,615,Couple families,35 to 44 years,"$40,000 and over",22180
2010,Province 2,Third quintile,Household operations,Dollars,C163,3714,Couple families,35 to 44 years,"$45,000 and over",21340
2010,Province 2,Third quintile,Communications,Dollars,C164,1783,Couple families,35 to 44 years,"$50,000 and over",20350
2010,Province 2,Third quintile,Household furnishings and equipment,Dollars,C165,1537,Couple families,35 to 44 years,"$60,000 and over",18140
2010,Province 2,Third quintile,Household furnishings,Dollars,C166,642,Couple families,35 to 44 years,"$70,000 and over",15820
2010,Province 2,Third quintile,Household equipment,Dollars,C167,856,Couple families,35 to 44 years,"$75,000 and over",14710
2010,Province 2,Third quintile,Household appliances,Dollars,C168,343,Couple families,35 to 44 years,"$80,000 and over",13640
2010,Province 2,Third quintile,Clothing and accessories,Dollars,C169,3164,Couple families,35 to 44 years,"$90,000 and over",11650
2010,Province 2,Third quintile,Transportation,Dollars,C170,10115,Couple families,35 to 44 years,Median total income,85930
2010,Province 2,Fourth quintile,Total expenditure,Dollars,C171,72784,Couple families,45 to 54 years,All income groups,31120
2010,Province 2,Fourth quintile,Food purchased from stores,Dollars,C172,6350,Couple families,45 to 54 years,"Under $10,000",220
2010,Province 2,Fourth quintile,Food purchased from restaurants,Dollars,C173,2136,Couple families,45 to 54 years,"$10,000 and over",30900
2010,Province 2,Fourth quintile,Shelter,Dollars,C174,13252,Couple families,45 to 54 years,"$15,000 and over",30630
2010,Province 2,Fourth quintile,Principal accommodation,Dollars,C175,12090,Couple families,45 to 54 years,"$20,000 and over",30250
2010,Province 2,Fourth quintile,Rented living quarters,Dollars,C176,1057,Couple families,45 to 54 years,"$25,000 and over",29850
2010,Province 2,Fourth quintile,Owned living quarters,Dollars,C177,7966,Couple families,45 to 54 years,"$30,000 and over",29350
2010,Province 2,Fourth quintile,"Water, fuel and electricity for principal accommodation",Dollars,C178,3067,Couple families,45 to 54 years,"$35,000 and over",28700
2010,Province 2,Fourth quintile,Other accommodation,Dollars,C179,1163,Couple families,45 to 54 years,"$40,000 and over",27880
2010,Province 2,Fourth quintile,Household operations,Dollars,C180,4213,Couple families,45 to 54 years,"$45,000 and over",26880
2010,Province 2,Fourth quintile,Communications,Dollars,C181,1976,Couple families,45 to 54 years,"$50,000 and over",25660
2010,Province 2,Fourth quintile,Household furnishings and equipment,Dollars,C182,2143,Couple families,45 to 54 years,"$60,000 and over",23140
2010,Province 2,Fourth quintile,Household furnishings,Dollars,C183,823,Couple families,45 to 54 years,"$70,000 and over",20660
2010,Province 2,Fourth quintile,Household equipment,Dollars,C184,1253,Couple families,45 to 54 years,"$75,000 and over",19350
2010,Province 2,Fourth quintile,Household appliances,Dollars,C185,515,Couple families,45 to 54 years,"$80,000 and over",18120
2010,Province 2,Fourth quintile,Clothing and accessories,Dollars,C186,3916,Couple families,45 to 54 years,"$90,000 and over",15760
2010,Province 2,Fourth quintile,Transportation,Dollars,C187,11977,Couple families,45 to 54 years,Median total income,90770
2010,Province 2,Highest quintile,Total expenditure,Dollars,C188,119554,Couple families,55 to 64 years,All income groups,32260
2010,Province 2,Highest quintile,Food purchased from stores,Dollars,C189,7931,Couple families,55 to 64 years,"Under $10,000",350
2010,Province 2,Highest quintile,Food purchased from restaurants,Dollars,C190,3091,Couple families,55 to 64 years,"$10,000 and over",31920
2010,Province 2,Highest quintile,Shelter,Dollars,C191,17604,Couple families,55 to 64 years,"$15,000 and over",31170
2010,Province 2,Highest quintile,Principal accommodation,Dollars,C192,15526,Couple families,55 to 64 years,"$20,000 and over",30580
2010,Province 2,Highest quintile,Rented living quarters,Dollars,C193,585,Couple families,55 to 64 years,"$25,000 and over",29880
2010,Province 2,Highest quintile,Owned living quarters,Dollars,C194,11349,Couple families,55 to 64 years,"$30,000 and over",29030
2010,Province 2,Highest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C195,3592,Couple families,55 to 64 years,"$35,000 and over",27880
2010,Province 2,Highest quintile,Other accommodation,Dollars,C196,2078,Couple families,55 to 64 years,"$40,000 and over",26430
2010,Province 2,Highest quintile,Household operations,Dollars,C197,5808,Couple families,55 to 64 years,"$45,000 and over",24770
2010,Province 2,Highest quintile,Communications,Dollars,C198,2253,Couple families,55 to 64 years,"$50,000 and over",23120
2010,Province 2,Highest quintile,Household furnishings and equipment,Dollars,C199,3291,Couple families,55 to 64 years,"$60,000 and over",19770
2010,Province 2,Highest quintile,Household furnishings,Dollars,C200,1431,Couple families,55 to 64 years,"$70,000 and over",16640
2010,Province 2,Highest quintile,Household equipment,Dollars,C201,1642,Couple families,55 to 64 years,"$75,000 and over",15280
2010,Province 2,Highest quintile,Household appliances,Dollars,C202,748,Couple families,55 to 64 years,"$80,000 and over",13960
2010,Province 2,Highest quintile,Clothing and accessories,Dollars,C203,5864,Couple families,55 to 64 years,"$90,000 and over",11690
2010,Province 2,Highest quintile,Transportation,Dollars,C204,17298,Couple families,55 to 64 years,Median total income,71940
2010,Province 3,All quintiles,Total expenditure,Dollars,C205,62430,Couple families,Total all ages,All income groups,45570
2010,Province 3,All quintiles,Food purchased from stores,Dollars,C206,5925,Couple families,Total all ages,"Under $10,000",450
2010,Province 3,All quintiles,Food purchased from restaurants,Dollars,C207,1666,Couple families,Total all ages,"$10,000 and over",45110
2010,Province 3,All quintiles,Shelter,Dollars,C208,10502,Couple families,Total all ages,"$15,000 and over",44740
2010,Province 3,All quintiles,Principal accommodation,Dollars,C209,9680,Couple families,Total all ages,"$20,000 and over",44180
2010,Province 3,All quintiles,Rented living quarters,Dollars,C210,1527,Couple families,Total all ages,"$25,000 and over",43570
2010,Province 3,All quintiles,Owned living quarters,Dollars,C211,5488,Couple families,Total all ages,"$30,000 and over",42300
2010,Province 3,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C212,2665,Couple families,Total all ages,"$35,000 and over",40670
2010,Province 3,All quintiles,Other accommodation,Dollars,C213,822,Couple families,Total all ages,"$40,000 and over",39250
2010,Province 3,All quintiles,Household operations,Dollars,C214,3531,Couple families,Total all ages,"$45,000 and over",37790
2010,Province 3,All quintiles,Communications,Dollars,C215,1777,Couple families,Total all ages,"$50,000 and over",36220
2010,Province 3,All quintiles,Household furnishings and equipment,Dollars,C216,1941,Couple families,Total all ages,"$60,000 and over",32770
2010,Province 3,All quintiles,Household furnishings,Dollars,C217,939,Couple families,Total all ages,"$70,000 and over",29320
2010,Province 3,All quintiles,Household equipment,Dollars,C218,897,Couple families,Total all ages,"$75,000 and over",27510
2010,Province 3,All quintiles,Household appliances,Dollars,C219,474,Couple families,Total all ages,"$80,000 and over",25700
2010,Province 3,All quintiles,Clothing and accessories,Dollars,C220,4010,Couple families,Total all ages,"$90,000 and over",22440
2010,Province 3,All quintiles,Transportation,Dollars,C221,10249,Couple families,Total all ages,Median total income,88890
2010,Province 3,Lowest quintile,Total expenditure,Dollars,C222,21935,Couple families,0 to 24 years,All income groups,670
2010,Province 3,Lowest quintile,Food purchased from stores,Dollars,C223,3292,Couple families,0 to 24 years,"Under $10,000",50
2010,Province 3,Lowest quintile,Food purchased from restaurants,Dollars,C224,766,Couple families,0 to 24 years,"$10,000 and over",620
2010,Province 3,Lowest quintile,Shelter,Dollars,C225,6112,Couple families,0 to 24 years,"$15,000 and over",570
2010,Province 3,Lowest quintile,Principal accommodation,Dollars,C226,5936,Couple families,0 to 24 years,"$20,000 and over",510
2010,Province 3,Lowest quintile,Rented living quarters,Dollars,C227,2972,Couple families,0 to 24 years,"$25,000 and over",440
2010,Province 3,Lowest quintile,Owned living quarters,Dollars,C228,1185,Couple families,0 to 24 years,"$30,000 and over",370
2010,Province 3,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C229,1780,Couple families,0 to 24 years,"$35,000 and over",310
2010,Province 3,Lowest quintile,Household operations,Dollars,C231,1652,Couple families,0 to 24 years,"$45,000 and over",200
2010,Province 3,Lowest quintile,Communications,Dollars,C232,989,Couple families,0 to 24 years,"$50,000 and over",160
2010,Province 3,Lowest quintile,Household furnishings and equipment,Dollars,C233,592,Couple families,0 to 24 years,"$60,000 and over",90
2010,Province 3,Lowest quintile,Household furnishings,Dollars,C234,313,Couple families,0 to 24 years,"$70,000 and over",60
2010,Province 3,Lowest quintile,Household equipment,Dollars,C235,265,Couple families,0 to 24 years,"$75,000 and over",50
2010,Province 3,Lowest quintile,Household appliances,Dollars,C236,159,Couple families,0 to 24 years,"$80,000 and over",40
2010,Province 3,Lowest quintile,Clothing and accessories,Dollars,C237,1225,Couple families,0 to 24 years,"$90,000 and over",30
2010,Province 3,Lowest quintile,Transportation,Dollars,C238,3370,Couple families,0 to 24 years,Median total income,32680
2010,Province 3,Second quintile,Total expenditure,Dollars,C239,37314,Couple families,25 to 34 years,All income groups,6290
2010,Province 3,Second quintile,Food purchased from stores,Dollars,C240,5067,Couple families,25 to 34 years,"Under $10,000",140
2010,Province 3,Second quintile,Food purchased from restaurants,Dollars,C241,1276,Couple families,25 to 34 years,"$10,000 and over",6160
2010,Province 3,Second quintile,Shelter,Dollars,C242,7761,Couple families,25 to 34 years,"$15,000 and over",6100
